5S-Rrna-A1	5SDna-A1
Glu-B1ab	Glu-B1-XI,Glu-B1x
Glu-B1ac	Glu B1XIII
Glu-B1ad	Glu B1XIV
Glu-B1ae	
Glu-B1af	
Glu-B1ag	
Glu-B1ah	
Glu-B1ai	
Glu-B1aj	
Glu-B1ak	
Glu-B1al	
Glu-B1am	
Glu-B1an	
Glu-B1ao	
Glu-B1ap	
Glu-B1aq	
Glu-B1ar	
Glu-B1as	
Glu-B1at	
Glu-B1au	
Glu-B1av	Glu-B1r
Glu-B1aw	Glu-B1s
Glu-B1ax	Glu-B1-XV
Glu-B1ay	Glu-B1-XVI
Glu-B1az	Glu-B1-XVII
Glu-B1b	
Glu-B1ba	Glu-B1-XVIII
Glu-B1bb	Glu-B1-XLX
Glu-B1bc	
Glu-B1bd	
Glu-B1be	
Glu-B1bf	
Glu-B1bg	
Glu-B1bh	
Glu-B1bi	
Glu-B1bj	
Glu-B1bk	Glu-B1be
Glu-B1bl	Glu-B1bf
Glu-B1bm	Glu-B1bg
Glu-B1bn	
Glu-B1bo	
Glu-B1bp	
Glu-B1bq	
Glu-B1br	
Glu-B1bs	
Glu-B1bt	
Glu-B1bu	
Glu-B1bv	
Glu-B1bw	
Glu-B1bx	
Glu-B1by	
Glu-B1bz	
Glu-B1c	
Glu-B1ca	
Glu-B1cb	
Glu-B1cc	
Glu-B1cd	
Glu-B1ce	
Glu-B1d	
Glu-B1e	
Glu-B1f	
Glu-B1g	
Glu-B1h	
Glu-B1i	
Glu-B1j	
Glu-B1k	
Glu-B1l	
Glu-B1m	GLU-B1-I
Glu-B1n	GLU-B1-II
Glu-B1o	GLU-B1-III
Glu-B1p	GLU-B1-IV
Glu-B1q	GLU-B1-V
Glu-B1r	GLU-B1-VI
Glu-B1s	
Glu-B1t	
Glu-B1u	
Glu-B1v	
Glu-B1w	
Glu-B1x	Glu-B1-VII,Glu-B1t
Glu-B1y	Glu-B1-VIII,Glu-B1u
Glu-B1z	Glu-B1-IX,Glu-B1v
Glu-B2	XGlu-B2
Glu-B2a	
Glu-B2b	
Glu-B2c	
Glu-B3	
Glu-B3a	
Glu-B3aa	Glu-B3l
Glu-B3ab	
Glu-B3ac	
Glu-B3ad	
Glu-B3b	
Glu-B3c	
Glu-B3d	
Glu-B3e	
Glu-B3f	
Glu-B3g	
Glu-B3h	
Glu-B3i	
Glu-B3j	
Glu-B3k	
Glu-B3l	
Glu-B3m	Glu-B3b'
Glu-B3n	Glu-B3c'
Glu-B3o	Glu-B3i'
Glu-B3p	Glu-B3k
Glu-B3q	Glu-B3h'
Glu-B3r	Glu-B3a
Glu-B3s	Glu-B3b
Glu-B3t	Glu-B3c
Glu-B3u	Glu-B3d
Glu-B3v	Glu-B3e
Glu-B3w	Glu-B3f
Glu-B3x	Glu-B3g
Glu-B3y	Glu-B3h
Glu-D1	Glt-D1,Glt-D2,Glu 1D
Glu-D1-1	
Glu-D1-1a	
Glu-D1-1b	
Glu-D1-1c	
Glu-D1-1d	
Glu-D1-1e	
Glu-D1-1f	
Glu-D1-1g	
Glu-D1-1h	
Glu-D1-1i	
Glu-D1-1j	
Glu-D1-1k	
Glu-D1-1l	
Glu-D1-1m	
Glu-D1-1n	
Glu-D1-1o	
Glu-D1-1p	
Glu-D1-1q	
Glu-D1-1r	
Glu-D1-1s	
Glu-D1-1t	
Glu-D1-1u	
Glu-D1-1v	1.6t
Glu-D1-2	
Glu-D1-2a	
Glu-D1-2b	
Glu-D1-2c	
Glu-D1-2d	
Glu-D1-2e	
Glu-D1-2f	
Glu-D1-2g	
Glu-D1-2h	
Glu-D1-2i	
Glu-D1-2j	
Glu-D1-2k	
Glu-D1-2l	
Glu-D1-2m	
Glu-D1-2n	
Glu-D1-2o	
Glu-D1-2p	
Glu-D1-2q	
Glu-D1-2r	
Glu-D1-2s	
Glu-D1-2t	
Glu-D1-2u	
Glu-D1a	
Glu-D1aa	
Glu-D1ab	
Glu-D1ac	
Glu-D1ad	
Glu-D1ae	
Glu-D1ag	
Glu-D1ah	
Glu-D1ai	
Glu-D1aj	
Glu-D1ak	
Glu-D1al	
Glu-D1am	Glu-D1-I
Glu-D1an	Glu-D1-II
Glu-D1ao	Glu-D1-III
Glu-D1ap	Glu-D1-IV
Glu-D1aq	
Glu-D1ar	
Glu-D1as	
Glu-D1at	
Glu-D1au	
Glu-D1av	
Glu-D1aw	
Glu-D1ax	
Glu-D1ay	
Glu-D1az	
Glu-D1b	
Glu-D1ba	
Glu-D1bb	
Glu-D1bc	
Glu-D1bd	
Glu-D1be	
Glu-D1bf	
Glu-D1bg	
Glu-D1bh	
Glu-D1bi	
Glu-D1bj	
Glu-D1bk	
Glu-D1bl	
Glu-D1bm	
Glu-D1bn	
Glu-D1bo	
Glu-D1bp	
Glu-D1bq	Glu-D1bp(t)
Glu-D1br	
Glu-D1bs	
Glu-D1bt	
Glu-D1bu	
Glu-D1bv	
Glu-D1bw	
Glu-D1c	
Glu-D1d	
Glu-D1e	
Glu-D1f	
Glu-D1g	
Glu-D1h	
Glu-D1i	
Glu-D1j	
Glu-D1k	
Glu-D1l	
Glu-D1m	
Glu-D1n	
Glu-D1o	
Glu-D1p	
Glu-D1q	
Glu-D1r	
Glu-D1s	
Glu-D1t	
Glu-D1u	
Glu-D1v	
Glu-D1w	
Glu-D1x	
Glu-D1y	
Glu-D1z	
Glu-D3	
Glu-D3a	
Glu-D3b	
Glu-D3c	
Glu-D3d	
Glu-D3e	
Glu-D3f	
Glu-D3g	
Glu-D3h	
Glu-D3i	
Glu-D3j	
Glu-D3k	
Glu-D3l	
Glu-D3m	
Glu-D4	
Glu-D4a	
Glu-D4b	
Glu-D4c	
Glu-D5	
Glu-D5a	
Glu-D5b	
Glu-E1	
Glu-E1a	
Glu-E1b	
Glu-E3	
Glu-H1	Hor 3
Glu-Hch1	
Glu-Hch1a	
Glu-Hch1b	
Glu-Hch1c	
Glu-Hch1d	
Glu-Hch1e	
Glu-Hch1f	
Glu-Hch1g	
Glu-Hch1h	
Glu-Hch1i	
Glu-Hch1j	
Glu-Ht1	
Glu-R1	Sec 3
Glu-R1-1	
Glu-R1-1a	
Glu-R1-1b	
Glu-R1-1c	
Glu-R1-1d	
Glu-R1-1e	
Glu-R1-2	
Glu-R1-2a	
Glu-R1-2b	
Glu-R1-2c	
Glu-R1-2d	
Glu-R1a	
Glu-R1b	
Glu-R1c	
Glu-R1d	
Glu-R1e	
Glu-R1f	
Glu-R1g	
Glu-Rm1	
Glu-Sl1	
Glu-Sl3	
Glu-Ta1	
Glu-Ta1a	
Glu-Ta1b	
Glu-Ta1c	
Glu-Ta1d	
Glu-Ta1e	
Glu-Ta1f	
Glu-U1	
Glu-U3	
Glu-V1	
