5S-Rrna-A1	5SDna-A1
Tpi-H2	
Tpi-R1	
Tpi-R2	
Tpi-Sl1	
Tpi-Sl2	
Tpi-U2	
Tri-A1	
Tri-A1a	cs
Tri-A1b	h
Tri-D1	
Tri-D1a	cs
Tri-D1b	i
Tsc1	
Tsc2	
Tsn1	
Tsn1	
Tsn2	
Tsr1	
Tsr2	tsn2
Tsr3	tsn3
Tsr4	tsn4
Tsr5	tsn
Tsr6	
TsrAri	
TsrHar	
Ut-x	
Ut1	
Ut10	QUt.sps-6D
Ut2	
Ut3	
Ut4	QUt.spa-7B
Ut5	Ut-Fore,Ut-X
Ut6	QUt.spa-5B
Ut7	QUt.spa.7A
Ut8	QUt.spa-3A
Ut9	QUt.spa-6B
Utd1	
V1	
V2	
Vgw	Vg
Vi	
Vil-1	
Vil-2	
Vil-3	
Vp-A1	
Vp-A1a	
Vp-A1b	
Vp-A1c	
Vp-A1d	
Vp-A1e	
Vp-A1f	
Vp-A1g	Vp-1Ab
Vp-A1h	Vp-1Ad
Vp-A1i	Vp-1Af
Vp-B1	
Vp-B1a	
Vp-B1b	
Vp-B1c	
Vp-B1d	
Vp-B1e	Vp-1Be
Vp-B1f	Vp-1Bf
Vp-B1g	Vp-1Bg
Vp-D1	
Vp-D1a	
Vrn-1	
Vrn-2	
Vrn-A1	
Vrn-A1a	Vrn1,Sk
Vrn-A1b	
Vrn-A1c	
Vrn-A1d	
Vrn-A1e	
Vrn-A2a	
Vrn-A2b	
Vrn-A2c	
Vrn-B1	
Vrn-B1a	Vrn4,Vrn2,Ss,Vrn2a = Vrn2,Vrn2b = Vrn2
Vrn-B1b	
Vrn-B1c	
Vrn-B2	
Vrn-B3	Vrn-4B,Vrn5,eHi
Vrn-D1	
Vrn-D1a	
Vrn-D1b	
Vrn-D2	
Vrn-D5a	Vrn-D5,Vrn4
Vrn-H3	Sh3
Vrn1	
Vrn3	
Vrn4	Vrn5,Vrn-D5
Vsr1	
Vsr1a	
Vsr1b	
W1	
W2	
W2a	
W2b	
Ws	
Wsm1	
Wsm2	
Wsm3	
Wsp-A1	
Wsp-A1a	
Wsp-A1b	
Wsp-A1c	
Wsp-A1d	
Wsp-A1e	
Wsp-B1	
Wsp-B1a	
Wsp-B1b	
Wsp-B1c	
Wsp-D1	
Wsp-D1a	
Wsp-D1b	
Wsp-D1c	
Wsp-E1	
Wsp-H1	
Wsp-Hch1	
Wsp-Sl1	
Wsp-V1	
Wss1	
Wx-A1	Xwx-7A,Wx-B1
Wx-A1a	Wx-B1a
Wx-A1b	Wx-B1b
Wx-A1c	
Wx-A1d	
Wx-A1e	
Wx-A1f	
Wx-A1g	
Wx-A1h	
Wx-A1i	
Wx-A1j	
Wx-B1	XWx-4B,XWx-4A,Wx-A1
Wx-B1a	Wx-A1a
Wx-B1b	Wx-A1b
Wx-B1c	
Wx-B1d	
Wx-B1e	
Wx-B1f	
Wx-BS1g	
Wx-BSL1h	
Wx-D1	XWx-7D
Wx-D1a	
Wx-D1b	
Wx-D1c	
Wx-D1d	
Wx-D1e	
Wx-D1f	Wx-d1e
Wx-DDN1g	
YmIb	
YmYF	
Yr1	L
Yr10	YrVav
Yr11	R11
Yr12	R12
Yr13	R13
Yr14	R14
Yr15	
Yr16	
Yr17	
Yr18	
Yr19	YrCom
Yr2	U
Yr20	YrFie
Yr21	YrLem
Yr22	YrLe1
Yr23	YrLe2
Yr24	YrCH42
Yr25	
Yr26	
Yr27	YrSk
Yr28	
Yr29	
Yr3	
Yr30	
Yr31	
Yr32	YrCV,YrCv
Yr33	
Yr34	
Yr35	YrS8
Yr36	
Yr37	
Yr38	YrS12
Yr39	
Yr3a	
Yr3b	
Yr3c	
Yr4	YrRub
Yr40	
Yr41	YrCN19
Yr42	
Yr43	
Yr44	YrZak
Yr45	
Yr46	
Yr47	
Yr48	Qyr.ucw-5AL
Yr49	
Yr4a	
Yr4b	
Yr5	
Yr50	
Yr51	YrAW1
Yr52	
Yr53	
Yr54	
Yr55	
Yr56	Qyr.sun-2A
Yr57	YrAW2
Yr58	
Yr59	
Yr6	B
Yr60	
Yr61	Yrdp34
Yr62	
Yr63	
Yr64	
Yr65	
Yr66	YrVL1
Yr67	YrVL2,YrC591
Yr68	
Yr69	YrCH86
Yr7	
Yr70	YrUmb
Yr71	YrSA3
Yr72	YrAW4
Yr73	
Yr74	
Yr75	YrAxe
Yr76	YrTye
Yr77	QYr.ucw-6D
Yr78	QYr.ucw-6B
Yr8	
Yr9	
YrA	
YrAS2388	
YrAlp	
YrAvS	
YrC142	
YrC591	
YrCK	
YrCN17	
YrCle	
YrD	
YrDa1	
YrDa2	
YrDru	
YrDru2	
YrExp1	
YrExp2	
YrF	
YrH46	
YrH52	
YrH9020	
YrHA	
YrHVII	
YrJ22	
YrKK	
YrMin	
YrMor	
YrND	
YrP81	
YrR212	
YrR61	QYr.uga-2AS
YrS	
YrS2199	
YrSD	
YrSP	
YrSp	YrSP
YrSte	
YrSte2	
YrTr1	
YrTr2	
YrTye	
YrV23	
YrYam	
YrZH84	
Yrns-B1	
Yrwh2	
Yrxy1	
Yrxy2	
Zds-A1	
Zds-B1	
Zds-D1	
Zds-D1a	TaZDS-D1a
Zds-D1b	TaZDS-D1b
a-Amy-A1	Amy6A
a-Amy-A1a	Amy 6A1
a-Amy-A1b5	
a-Amy-A1c5	Amy 6A1m
a-Amy-A2	Amy7A
a-Amy-Agi1	
a-Amy-Agi2	
a-Amy-B1	Amy6B
a-Amy-B1a	Amy 4,Amy 6B1,Amy 6B2o
a-Amy-B1b	Amy 4m,Amy 6B1o,Amy 6B2
a-Amy-B1c	Amy 4,Amy 6B1,Amy 6B2
a-Amy-B1d	Amy 4m,Amy 6B1o,Amy6B2o
a-Amy-B1e	Amy 4m,Amy 6B14',Amy 6B2o
a-Amy-B1f	Amy4m,Amy 6B14,Amy 6B2o
a-Amy-B1g	Amy 4,Amy 6B14,Amy 6B2o
a-Amy-B1h	Amy 4,Amy 6B1o,Amy 6B2o
a-Amy-B2	Amy7B
a-Amy-B2a	Amy 7B1,Amy 7B2
a-Amy-B2b	Amy 7B1,Amy 7B2m
a-Amy-D1	Amy6D
a-Amy-D1a	Amy6D1,Amy 6D2
a-Amy-D1b	Amy6D1,Amy 6D2
a-Amy-D1c	Amy6D1m,Amy 6D2
a-Amy-D2	Amy7D
a-Amy-D2a	Amy 7D1
a-Amy-D2b	Amy 7D1o
a-Amy-E1	
a-Amy-E2	
a-Amy-H1	a-Amy1
a-Amy-H2	a-Amy2
a-Amy-Hch2	
a-Amy-R1	
a-Amy-R2	
a-Amy-Rm1	
a-Amy-S1	
a-Amy-Sb2	
a-Amy-U2	
a-Amy1	Amy 6B2,Amy-B2
a-Amy1a	a-Amy-B1a
a-Amy1b	a-Amy-B1b
a-Amy1c	a-Amy-B4
alt1	
apd1 apd2	
apd2	
ar1	
b-Amy-A1	b-Amy-A2,b-Amy-B1
b-Amy-A1a	b-Amy-A2a,b-B1a
b-Amy-A1b	b-Amy-A2b,b-B1b
b-Amy-A1c	b-Amy-A2c,b-B1c
b-Amy-A1d	b-Amy-A2d,b-B1d
b-Amy-A1e	b-Amy-A2e,b-B1e
b-Amy-Agi1	
b-Amy-B1	b-Amy-A1
b-Amy-B1a	b-Amy-A1a
b-Amy-B1b	b-Amy-A1b
b-Amy-B1c	b-Amy-A1b,b-Amy-A1c
b-Amy-B1d	b-Amy-A1c
b-Amy-C1	
b-Amy-D1	
b-Amy-D1a	
b-Amy-D1b	
b-Amy-D1c	
b-Amy-Eb1	
b-Amy-H1	
b-Amy-Hch1	
b-Amy-R1	b-Amy-R2,b-AmyR1
b-Amy-Sl1	
b-Amy-U1	b-Amy-U2
b-Gls	
b-Glsa	
b-Glsb	
b2	
bh-A1	bh
bh-D1	mrs
bh-R1	mo
brc1	
brc2	
brc3	
cc	
cdu1	cdu 1
ch1 ch2	
chr1	
cn-A1a	cn1a
cn-A1b	cn1b
cn-A1c	cn2
cn-A1d	
cn-B1a	
cn-B1b	
cn-D1a	cn-D1,cn3
co1	co
co2	
d1d2d3d4	
dfq1	
epsCnn	
ha	
hd	
hd b1 b2	
hl1 hl2	
hn	
hs	
igc1	
ki	
kr1 Kr2	
kr1 kr2	
kr1 kr2 kr3 kr4	
kr2	
kr3	
kr4	
lg1	
lg2	
lg3	
lm	
ltp	
lute	
mlRd30	
mljy	
mlsy	
ms1	
ms1a	
ms1b	
ms1c	
ms1d	
ms1e	
ms1f	
ms1g	
ms2	Ta1
ms3	
ms4	
ms5	
ne1 ne2	
nra	
or	
pa	
ph1a	
ph1b	
ph1c	
ph2a	
ph2b	ph1a
phs1	
pln	L
pp1pp3	
q	K
rcc1	
rfv1sp	
rfv2	
s2	sp2
sc	
scs	scsti
snn1	
snn1tsn1	
snn2	
snn3	
snn4	
snn5	
sog	
su1	
suLr23	
tin1	Tin
tin2	Tin
tin3	
tmsBS20T	
tsc1	
tsc2	
tsn1	
tsn1	
v1a	v
v1b	
v2a	
v2b	
vg	
vgw	
vrn-A1	
vrn-A1a	
vrn-A1b	
vrn-A1c	
vrn-A1v	
vrn-A1w	
vrn-B1	
vrn-B3	
vrn1	
w1	
w1w2	
wptms1	
wptms2	
ws	
wtms1	
