26907	ACCOR	29847	FRA051:6392	29847-2011 29847-2012 29847-2013 ACCOR
26116	ACIENDA	23863	FRA051:8741	23863-2011 23863-2012 23863-2013 ACIENDA
21845	ACIER	781	FRA051:4747	ACIER
25878	AC NANDA	20331	FRA051:9033  PI 604603	AC NANDA
27718	ACOUSTIC	36597	LD 7-4 SI	36597-2011 36597-2012 36597-2013 ACOUSTIC
63397	AC Oxbow	BCC801	WB-159	
48151	ACTROS	38989	BAUB 93022  WW-036	
27085	ADAGIO	33843	ST 20664	33843-2011 33843-2012 33843-2013 ADAGIO
21846	ADAM	783	FRA051:1528	ADAM
21847	ADAMANT	787	FRA051:701	
27126	ADENA	33958	FRA051:24	ADENA
27719	ADHOC	36607	MH 08-11	36607-2011 36607-2012 36607-2013 ADHOC
21849	ADJIKLI	789	FRA051:1530	ADJIKLI
21850	ADMIRAL	792	FRA051:4748	ADMIRAL
21851	ADMONTER	794	ADMONTER FRUHWEIZEN  PI 254831  WW-316	794 ADMONTER
16574	ADRI	10103	FRA051:4028	
25456	ADROIT	9018	FRA051:1531	
21853	ADULAR	797	FRA051:6471  WW-317	797 ADULAR
48312	AE 525	39351	AEG 25  WW-248	
63505	Afrasiab	BCC1476	WB-267	
21854	AFRICA MAYO	800	AUS 2435  K 44454  PI 297005  WW-283	800 AFRICA MAYO
48158	AGADIR	38996	WW-070	
21856	AGATE	806	FRA051:6240	AGATE
21857	AGENT	807	CI 13523	AGENT
16456	AGER	9128	BCC 1320  FRA051:3865	
63485	Agneta	BCC1448	WB-247	
21858	AGRISS	810	FRA051:1533	AGRISS
21859	AGROLIT DON ORIONE	812	PI 344451	AGROLIT DON ORIONE
21860	AGROLIT VIGLIANO	813	PI 344452	AGROLIT VIGLIANO
27111	AGROR	33893	815 - AGROR  FRA051:1534	AGROR
21861	AGROUNIA	816	FRA051:9036	AGROUNIA
48115	AGUILA	24562	22237 bt 3  WW-037	AGUILA
63521	Agul 2	BCC1504	WB-283	
27451	AGYBA	35985	PI 178212	AGYBA
21863	AI BIAN 1	819	FRA051:1535	AI BIAN 1
21864	AIDA	821	FRA051:6252	AIDA
21865	AIFENG-4	822	K 57427  WW-318	822 AIFENG-4
21866	AIGLON	823	252  FRA051:1536	
24877	AISNE	7955	FRA051:1538	AISNE
25505	AJAX	13058	FRA051:4942	AJAX
27537	AK BUGDAI	36071	K 39229  PI 262620	AK BUGDAI
